WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
278,Coahuayana,MX,18.7333,-103.6833,86.85,63,12,2.42,few clouds
279,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,98.44,34,13,3.31,few clouds
280,Constitucion,CL,-35.3333,-72.4167,58.6,66,3,10.92,clear sky
281,Arman,RU,59.7,150.1667,21.02,71,97,5.41,overcast clouds
282,Hengyang,CN,26.8881,112.615,55.9,75,97,10.29,overcast clouds
283,Ridgecrest,US,35.6225,-117.6709,80.65,19,0,3.0,clear sky
284,El Fuerte,MX,26.4189,-108.6194,82.29,58,0,2.84,clear sky
285,Nedjo,ET,9.5046,35.5019,58.6,95,97,1.19,moderate rain
286,Nara,JP,34.6851,135.8049,61.92,75,5,3.87,clear sky
287,Warangal,IN,18.0,79.5833,72.55,97,100,2.44,light rain
288,Yorkton,CA,51.2167,-102.4677,48.04,76,100,19.57,overcast clouds
289,Souillac,MU,-20.5167,57.5167,71.98,73,40,8.05,scattered clouds
290,Taloqan,AF,36.7361,69.5345,61.12,30,0,2.84,clear sky
291,Rubtsovsk,RU,51.5,81.25,42.58,45,99,8.41,overcast clouds
292,Bam,IR,29.106,58.357,81.14,12,0,10.58,clear sky
293,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,83,99,9.17,overcast clouds
294,Rawson,AR,-43.3002,-65.1023,67.21,32,0,12.64,clear sky
295,Paita,PE,-5.0892,-81.1144,71.46,64,31,14.0,scattered clouds
296,Kiruna,SE,67.8557,20.2251,38.32,93,100,6.91,mist
297,Shubarkuduk,KZ,49.1447,56.4872,55.13,19,91,12.39,overcast clouds
298,Turayf,SA,31.6725,38.6637,89.85,23,75,9.22,broken clouds
299,Trinidad,BO,-14.8333,-64.9,94.98,43,40,13.8,scattered clouds
300,Bac Lieu,VN,9.285,105.7244,79.5,86,98,8.9,light rain
301,Vangaindrano,MG,-23.35,47.6,69.31,86,0,7.2,clear sky
302,La Crosse,US,43.8014,-91.2396,68.13,66,88,3.0,overcast clouds
303,Waterloo,CA,43.4668,-80.5164,72.01,53,0,4.61,clear sky
304,Opelousas,US,30.5335,-92.0815,80.91,50,75,0.0,broken clouds
305,Dingle,PH,10.9995,122.6711,76.55,91,94,6.78,overcast clouds
306,Saldanha,ZA,-33.0117,17.9442,64.45,74,50,9.84,scattered clouds
307,Mae Ramat,TH,16.984,98.5166,78.8,93,65,1.57,broken clouds
308,Great Bend,US,38.3645,-98.7648,70.61,69,20,10.36,few clouds
309,Muros,ES,42.7762,-9.0603,67.08,84,94,7.34,overcast clouds
310,Bathsheba,BB,13.2167,-59.5167,88.41,70,20,25.32,few clouds
311,Constantine,DZ,36.365,6.6147,67.41,77,40,5.75,scattered clouds
312,Rafraf,TN,37.1904,10.1837,77.32,74,42,13.4,scattered clouds
313,North Bend,US,43.4065,-124.2243,57.16,97,100,4.61,overcast clouds
314,Berlevag,NO,70.8578,29.0864,44.6,75,0,12.66,clear sky
315,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.16,82,75,8.05,broken clouds
316,Kondoa,TZ,-4.9,35.7833,71.76,34,78,8.21,broken clouds
317,New Baltimore,US,42.6811,-82.7369,75.15,52,75,0.0,broken clouds
318,La Ronge,CA,55.1001,-105.2842,37.65,65,40,12.66,scattered clouds
319,Trebisacce,IT,39.8708,16.5312,65.35,52,92,2.64,overcast clouds
320,Beckley,US,37.7782,-81.1882,63.32,54,10,1.99,clear sky
321,Okhotsk,RU,59.3833,143.3,31.05,55,99,9.89,overcast clouds
322,Awjilah,LY,29.1081,21.2869,81.93,35,10,10.27,clear sky
323,Talnakh,RU,69.4865,88.3972,31.21,93,84,5.68,broken clouds
324,Karakol,KG,42.4907,78.3936,43.63,52,4,4.59,clear sky
325,Ust-Tsilma,RU,65.441,52.1498,44.56,95,100,4.9,overcast clouds
326,Pisco,PE,-13.7,-76.2167,63.01,77,100,6.91,haze
327,Ust-Maya,RU,60.4167,134.5333,23.74,86,70,8.32,broken clouds
328,Olafsvik,IS,64.8945,-23.7142,44.49,66,100,11.23,overcast clouds
329,Mandalgovi,MN,45.7625,106.2708,34.11,26,24,7.14,few clouds
330,Paamiut,GL,61.994,-49.6678,37.08,91,100,4.0,light rain
331,Orasac,BA,44.6289,16.0711,57.02,70,97,2.06,overcast clouds
332,Buluang,PH,13.3068,123.3425,76.91,92,84,2.93,broken clouds
333,Champaign,US,40.1334,-88.2001,74.39,30,0,5.75,clear sky
334,Ilulissat,GL,69.2167,-51.1,22.69,62,11,4.38,few clouds
335,Matagami,CA,49.7502,-77.6328,57.31,94,100,9.22,moderate rain
336,Shawville,CA,45.6001,-76.4827,66.85,52,17,2.46,few clouds
337,Labuhan,ID,-6.8844,112.2051,77.65,83,100,10.25,overcast clouds
